canyudu,jiaoshiqinggan,jiatingnianshouru,muqinxueli,muqinzhiye,nianji,sex,xuexilequ,xueyeyali,juandai
32,37,3,3,1,4,1,34,25,0
28,35,2,3,1,1,1,28,30,0
30,21,1,2,1,5,2,26,43,1
45,35,3,2,1,6,1,37,29,0
30,23,3,3,2,5,1,23,29,1
35,28,2,4,3,6,2,35,35,0
30,27,1,1,1,6,1,36,30,1
50,45,2,2,1,6,2,45,28,0
30,31,1,3,3,4,2,31,26,0
24,29,4,2,4,5,1,26,25,1
30,27,4,4,3,4,2,35,31,0
29,32,3,1,1,2,1,28,29,0
30,27,4,3,1,4,2,26,31,0
30,27,1,1,3,2,1,27,28,1
33,36,1,2,1,6,1,31,35,1
20,45,1,3,2,2,1,29,40,1
30,27,1,2,1,2,2,27,30,1
30,27,4,1,1,6,1,27,30,1
10,9,1,2,1,5,1,9,10,0
26,31,2,2,1,2,2,25,35,1
30,27,1,2,1,1,2,27,30,1
25,29,3,2,2,4,2,25,32,0
37,28,1,1,1,6,1,31,39,1
10,9,1,1,1,2,1,9,10,0
40,36,2,2,3,1,1,36,23,0
34,27,2,2,1,1,1,27,33,0
28,36,3,3,4,4,1,36,21,0
29,18,1,1,1,6,2,17,32,0
33,23,2,2,1,6,2,31,37,0
16,24,3,2,1,2,1,20,37,1
32,32,4,2,1,6,1,35,39,0
47,45,1,2,1,5,2,45,27,0
39,36,1,2,1,3,1,37,22,0
30,36,2,1,3,6,2,27,34,1
50,45,1,2,1,5,2,45,20,0
29,27,1,1,1,2,1,31,31,1
28,32,4,2,3,6,1,28,36,1
40,36,2,2,1,3,1,36,22,0
38,35,1,2,3,4,1,36,31,0
20,27,1,2,3,3,1,26,38,0
10,15,2,4,2,2,1,13,50,1
27,27,2,2,1,5,1,22,35,1
24,22,2,2,1,2,1,23,38,0
26,34,2,1,1,1,1,30,23,0
33,36,5,2,1,4,2,33,32,0
20,33,5,4,3,6,1,29,50,1
50,45,2,2,1,3,1,45,10,0
30,12,2,2,2,6,1,22,39,0
27,27,1,2,1,2,2,29,38,0
40,36,1,2,1,6,2,36,26,0
23,28,2,2,2,4,2,27,27,0
30,27,2,1,1,6,1,26,26,0
13,9,2,2,1,2,2,15,40,1
29,22,2,3,3,6,2,26,36,0
30,27,1,2,1,6,1,27,10,0
31,36,3,2,3,6,1,31,23,0
36,22,2,2,1,6,1,26,34,0
30,18,2,2,1,6,1,23,35,1
30,27,3,4,2,1,1,27,30,1
36,33,5,2,2,6,1,37,24,0
28,36,3,2,1,2,2,31,21,0
35,36,2,2,3,6,2,37,24,0
32,36,4,2,2,6,1,36,20,0
50,45,1,3,1,6,2,45,10,0
50,45,2,2,3,4,1,45,10,0
20,24,2,2,3,5,2,22,35,1
10,9,2,2,1,2,2,9,40,1
30,37,2,2,1,6,1,35,39,0
20,23,2,2,1,6,2,21,33,1
34,28,3,3,4,6,2,31,33,0
40,36,4,2,2,1,1,36,18,0
30,30,1,3,1,1,2,32,29,0
50,32,1,1,1,6,1,45,33,0
32,32,4,2,2,6,2,29,35,0
27,33,2,2,3,2,1,33,30,0
30,27,1,3,1,2,2,28,30,0
47,43,3,3,1,6,1,43,13,0
50,45,4,4,4,6,2,45,10,0
24,42,2,2,1,2,1,39,35,0
33,32,2,2,1,3,2,38,14,0
20,18,2,2,1,2,1,36,23,0
28,32,1,1,1,1,1,26,42,1
29,18,1,2,1,6,1,29,42,1
37,35,2,2,1,3,2,36,32,0
24,27,1,1,1,6,2,27,32,1
31,34,2,1,1,6,2,36,29,0
30,26,1,2,1,3,2,25,29,0
30,27,3,2,3,6,1,27,30,1
30,40,2,2,3,2,1,36,30,1
30,27,1,2,1,2,1,27,30,1
37,45,3,1,1,6,2,37,20,0
50,45,3,2,2,6,2,45,29,0
39,36,2,1,1,6,1,31,24,0
50,45,3,3,1,6,1,45,30,0
20,27,1,2,1,6,1,25,43,1
30,27,1,2,1,2,1,27,30,1
31,30,2,2,1,6,2,31,36,1
30,27,2,2,3,6,1,27,24,0
38,35,3,3,3,6,1,36,23,0
50,45,2,2,1,3,2,45,34,0
30,29,2,2,3,6,1,27,32,1
31,36,1,2,1,2,1,34,34,0
33,22,1,2,1,2,2,24,27,0
25,29,1,2,1,6,2,25,39,1
40,36,2,2,1,6,2,36,10,0
45,43,5,4,4,4,2,45,18,0
22,45,1,2,1,6,1,28,14,0
39,31,1,1,1,3,1,37,39,1
31,29,2,2,1,1,2,33,30,0
30,34,1,4,4,1,2,33,25,0
30,27,2,2,1,4,1,27,30,1
34,31,2,2,1,3,2,33,30,0
40,36,2,2,2,6,1,36,23,0
15,27,3,2,3,2,2,15,27,0
40,36,4,4,4,6,1,35,24,0
31,32,2,2,1,2,1,29,30,1
20,31,2,2,1,2,2,30,39,0
